Date,Open,High,Low,Close,Adj Close,Volume,Index
2020-07-24,12488.68,12522.19,12427.66,12461.78,12461.78,3894900000.0,NYA
2020-07-23,12567.17,12617.18,12459.06,12510.87,12510.87,4290460000.0,NYA
2020-07-22,12508.68,12578.98,12480.73,12569.07,12569.07,4255190000.0,NYA
2020-07-21,12492.08,12570.71,12481.97,12508.68,12508.68,4547960000.0,NYA
2020-07-20,12413.15,12432.77,12352.72,12392.98,12392.98,3971200000.0,NYA
2020-07-17,12395.76,12427.49,12339.87,12402.74,12402.74,3993830000.0,NYA
2020-07-16,12310.18,12381.38,12295.69,12350.11,12350.11,3961230000.0,NYA
2020-07-15,12377.65,12419.8,12309.26,12391.32,12391.32,4669760000.0,NYA
2020-07-14,11989.41,12215.15,11963.5,12014.67,12014.67,4476170000.0,NYA
2020-07-13,12159.75,12242.68,12000.98,12014.67,12014.67,4890780000.0,NYA
2020-07-10,11935.3,12079.11,11906.21,12075.58,12075.58,4515340000.0,NYA
2020-07-09,12089.24,12103.16,11831.04,11928.63,11928.63,4829020000.0,NYA
2020-07-08,12023.57,12095.18,11971.89,12086.39,12086.39,4927700000.0,NYA
2020-07-07,12056.21,12107.95,11979.77,11990.14,11990.14,4563700000.0,NYA
2020-07-06,12181.29,12218.19,12114.32,12160.01,12160.01,4736450000.0,NYA
2020-07-02,12088.7,12138.83,11970.8,11991.52,11991.52,4190830000.0,NYA
2020-07-01,11907.83,11982.23,11858.82,11901.55,11901.55,4443130000.0,NYA
2020-06-30,11736.75,11934.96,11724.57,11893.78,11893.78,4696280000.0,NYA
2020-06-29,11683.07,11777.64,11605.47,11777.08,11777.08,4462770000.0,NYA
2020-06-26,11796.4,11814.01,11578.81,11604.43,11604.43,8098120000.0,NYA
2020-06-25,11680.39,11866.2,11640.02,11865.11,11865.11,4815420000.0,NYA
2020-06-24,11956.29,11961.62,11650.91,11726.54,11726.54,5587200000.0,NYA
2020-06-23,12157.37,12176.43,12068.09,12077.74,12077.74,4704830000.0,NYA
2020-06-22,11963.3,12045.65,11907.22,12028.91,12028.91,4665380000.0,NYA
2020-06-19,12240.31,12240.31,11946.96,11980.12,11980.12,8327780000.0,NYA
2020-06-18,11994.46,12110.2,11984.71,12072.59,12072.59,4429030000.0,NYA
2020-06-17,12193.41,12202.58,12068.21,12086.49,12086.49,4549390000.0,NYA
2020-06-16,12304.14,12318.75,11992.98,12161.47,12161.47,5829240000.0,NYA
2020-06-15,11565.82,11997.65,11525.36,11942.91,11942.91,5740660000.0,NYA
2020-06-12,11999.48,12030.94,11640.59,11867.17,11867.17,5832250000.0,NYA
2020-06-11,12090.13,12099.18,11636.01,11659.17,11659.17,7018890000.0,NYA
2020-06-10,12616.63,12628.91,12431.56,12449.22,12449.22,6570840000.0,NYA
2020-06-09,12635.6,12682.74,12578.54,12619.52,12619.52,6382620000.0,NYA
2020-06-08,12734.54,12836.68,12688.55,12836.6,12836.6,8437380000.0,NYA
2020-06-05,12640.98,12752.14,12600.7,12641.44,12641.44,8617590000.0,NYA
2020-06-04,12236.74,12328.51,12202.36,12286.98,12286.98,6428130000.0,NYA
2020-06-03,12175.06,12329.29,12175.06,12302.19,12302.19,5989560000.0,NYA
2020-06-02,11900.24,12046.41,11900.24,12046.41,12046.41,5187230000.0,NYA
2020-06-01,11799.92,11928.8,11781.88,11900.24,11900.24,4673410000.0,NYA
2020-05-29,11750.97,11817.39,11645.71,11802.95,11802.95,7275080000.0,NYA
